FIPS,FI
01001,13.95
01003,12.375
01005,22.475
01007,15.35
01009,11.575
01011,23.825
01013,20.925
01015,16.775
01017,18.575
01019,13.775
01021,14.225
01023,20.55
01025,23.25
01027,15.1
01029,14.75
01031,14.95
01033,15.775
01035,22.1
01037,16.525
01039,16.075
01041,16.6
01043,12.975
01045,17.025
01047,27.475
01049,13.25
01051,13.9
01053,19.45
01055,15.55
01057,15.925
01059,13.9
01061,16.2
01063,29.7
01065,22.475
01067,15.325
01069,17.1
01071,14.7
01073,17.975
01075,16.625
01077,14.975
01079,14.975
01081,17.125
01083,12.825
01085,26.45
01087,24.95
01089,14.1
01091,22.275
01093,15.025
01095,13.1
01097,18.175
01099,24
01101,20.875
01103,13.7
01105,28.65
01107,20.15
01109,20.7
01111,15.975
01113,19.35
01115,12.7
01117,9.975
01119,27.425
01121,18.225
01123,17.525
01125,16.8
01127,16.15
01129,17.875
01131,29.5
01133,14.8
02013,12.775
02016,12.4
02020,11.9
02050,21.65
02060,12.85
02068,14.35
02070,16.9
02090,12.25
02100,13.65
02105,16.6
02110,10.675
02122,13.375
02130,13.525
02150,11.7
02158,27.35
02164,18.3
02170,12.85
02180,20.675
02185,14.075
02188,22.275
02195,13.35
02198,17.075
02220,11.75
02230,14.1
02240,15.3
02261,12.35
02275,13.8
02282,13.375
02290,22.3
04001,24.95
04003,14.575
04005,17.825
04007,17.875
04009,15.325
04011,12.35
04012,15.85
04013,13.7
04015,17.65
04017,21.525
04019,14.05
04021,13.75
04023,10.475
04025,15.45
04027,17.225
05001,19.425
05003,19.75
05005,15.05
05007,11.425
05009,15.375
05011,20.425
05013,17.5
05015,13.425
05017,26.15
05019,19.5
05021,18.05
05023,15.5
05025,17.375
05027,22.225
05029,18.15
05031,17.75
05033,14.7
05035,23.525
05037,19.05
05039,19.775
05041,25.7
05043,21.6
05045,16.2
05047,16.875
05049,17.575
05051,17.3
05053,14.425
05055,16.35
05057,19.575
05059,16.875
05061,17.2
05063,16.625
05065,17.25
05067,21.075
05069,24.425
05071,16.25
05073,22.2
05075,17.9
05077,26.075
05079,20.025
05081,18.35
05083,16.825
05085,14.225
05087,14.65
05089,16.2
05091,19.75
05093,23.725
05095,24.025
05097,16.15
05099,21.6
05101,15.225
05103,22.45
05105,15.825
05107,29.025
05109,16.225
05111,18.725
05113,17.65
05115,16.45
05117,17.775
05119,19.25
05121,17.075
05123,24.825
05125,12.45
05127,15.875
05129,16.75
05131,16.825
05133,13.2
05135,18.1
05137,17.975
05139,19.95
05141,17.25
05143,14.3
05145,16.65
05147,22.1
05149,14.15
06001,12.075
06003,14.95
06005,12.375
06007,16.3
06009,12.85
06011,12.15
06013,10.4
06015,17.025
06017,11.2
06019,14.55
06021,13.3
06023,16.325
06025,15.85
06027,11.675
06029,13.675
06031,13.9
06033,16.575
06035,14.6
06037,11.4
06039,11.9
06041,9.975
06043,14.9
06045,14.275
06047,13.775
06049,15.55
06051,10.3
06053,10
06055,8.725
06057,12.475
06059,9.425
06061,10.4
06063,15.775
06065,9.85
06067,14.575
06069,6.275
06071,10.45
06073,11.15
06075,13.625
06077,13.05
06079,11.7
06081,8.525
06083,9.825
06085,9.275
06087,11.6
06089,16.275
06091,13.425
06093,17.75
06095,12.9
06097,10.5
06099,12.325
06101,14.8
06103,15.05
06105,17.15
06107,13.775
06109,14.35
06111,7.95
06113,13.225
06115,15.575
08001,8.575
08003,12.975
08005,11.35
08007,10.475
08009,13.6
08011,13.9
08013,11.3
08014,9.375
08015,10.975
08017,10.125
08019,10.225
08021,8.675
08023,10.2
08025,14.8
08027,13.65
08029,13.475
08031,12.225
08033,13.875
08035,7.55
08037,6.95
08039,8.025
08041,12.175
08043,14.275
08045,8.875
08047,8.8
08049,11.35
08051,12.85
08053,12.45
08055,12.1
08057,10.6
08059,9.6
08061,11.8
08063,10.75
08065,9.675
08067,10.5
08069,11.5
08071,10.05
08073,12.175
08075,12.675
08077,13.375
08079,9.525
08081,11.3
08083,14
08085,12.7
08087,8.5
08089,12.65
08091,11.9
08093,9.6
08095,9.725
08097,10.975
08099,10.8
08101,11.425
08103,12.775
08105,10.525
08107,11.25
08109,11.55
08111,9.85
08113,12.125
08115,12.55
08117,10.325
08119,10.75
08121,11.125
08123,8.65
08125,11.15
09001,9.825
09003,11.8
09005,9.775
09007,9.85
09009,12.3
09011,11.75
09013,9.95
09015,11.475
10001,12.85
10003,11.6
10005,10.175
11001,11.9
12001,18.15
12003,15.675
12005,16.375
12007,17.5
12009,14.275
12011,13.55
12013,15.05
12015,13.85
12017,15.55
12019,12.65
12021,10.65
12023,16.8
12027,16
12029,17.45
12031,17.7
12033,16.875
12035,13.7
12037,16.85
12039,22.3
12041,15.7
12043,14.825
12045,15.65
12047,21
12049,13.425
12051,13.825
12053,13.95
12055,15.25
12057,13.65
12059,18.3
12061,13.675
12063,18.85
12065,17.375
12067,14.875
12069,13
12071,12.825
12073,19.1
12075,16.475
12077,16.55
12079,21.425
12081,12.825
12083,15.325
12085,11.875
12086,9.825
12087,11.325
12089,13.225
12091,13.925
12093,14.875
12095,14.025
12097,10.475
12099,13.125
12101,13.15
12103,14.525
12105,14.725
12107,18.75
12109,11.375
12111,15.025
12113,13.3
12115,12.575
12117,11.85
12119,12.8
12121,17.1
12123,16.925
12125,17.85
12127,14.725
12129,14.15
12131,14.6
12133,17.65
13001,14.9
13003,13.625
13005,14.425
13007,17.85
13009,21.15
13011,10.625
13013,10.65
13015,12.075
13017,21.675
13019,15.925
13021,21.325
13023,17.25
13025,14.2
13027,17.475
13029,11.6
13031,19.625
13033,20.75
13035,16.275
13037,22.675
13039,13.2
13043,17.75
13045,14.65
13047,10.225
13049,14.975
13051,16.7
13053,16.125
13055,15.075
13057,8.1
13059,20.225
13061,27.15
13063,20.5
13065,20.525
13067,11.05
13069,16.2
13071,15.275
13073,9.525
13075,16.85
13077,10.825
13079,14.725
13081,21.7
13083,11.5
13085,9.175
13087,19.625
13089,17.45
13091,17.9
13093,19.6
13095,24.775
13097,14.625
13099,20.9
13101,12.1
13103,10
13105,16.125
13107,20
13109,16.6
13111,12.15
13113,8.675
13115,14.15
13117,5.825
13119,15.375
13121,16.55
13123,11.775
13125,12.275
13127,15.275
13129,12.4
13131,17.525
13133,16.525
13135,10.3
13137,10.375
13139,8.75
13141,23.275
13143,13.575
13145,9.825
13147,14.575
13149,14.05
13151,13.475
13153,14.6
13155,18.55
13157,9.7
13159,14.15
13161,13.775
13163,21.325
13165,19.525
13167,17.675
13169,12.825
13171,17.05
13173,17.55
13175,19.65
13177,11.725
13179,16.925
13181,17.275
13183,14.125
13185,18.875
13187,12.6
13189,19.7
13191,16.275
13193,22.825
13195,12.5
13197,17.65
13199,18.85
13201,17.3
13205,20.45
13207,12.8
13209,16.525
13211,12.25
13213,12
13215,19.4
13217,16.075
13219,7.225
13221,12.75
13223,9.975
13225,18.05
13227,9.475
13229,13.625
13231,10.675
13233,13.35
13235,18.1
13237,14.325
13239,19.9
13241,12.8
13243,24.575
13245,21.175
13247,15.525
13249,16.525
13251,19.25
13253,17.65
13255,17.85
13257,14.2
13259,21.25
13261,22.675
13263,18.3
13265,22.55
13267,16.6
13269,20.65
13271,19.45
13273,24.225
13275,18
13277,17.525
13279,17.4
13281,12.25
13283,17.2
13285,17.425
13287,19.525
13289,20.65
13291,10.4
13293,17.425
13295,13
13297,11.825
13299,18.125
13301,21.525
13303,20.725
13305,15.625
13307,19.1
13309,21.45
13311,11.725
13313,9.175
13315,17.35
13317,19.25
13319,17.15
13321,16.175
15001,12.675
15003,10.975
15005,18.85
15007,10.6
15009,10.925
16001,11.775
16003,14.575
16005,13.975
16007,12.825
16009,15.55
16011,10.625
16013,10.025
16015,13.15
16017,14.4
16019,11.3
16021,14.5
16023,13.55
16025,14.6
16027,11.85
16029,10.625
16031,9.875
16033,10.2
16035,15.1
16037,15.825
16039,13.825
16041,11.15
16043,10.5
16045,14.825
16047,10.375
16049,14.425
16051,9.825
16053,10.075
16055,13.25
16057,16.1
16059,15.3
16061,15.45
16063,9.6
16065,17.85
16067,9.7
16069,13.275
16071,12.475
16073,13.375
16075,12.375
16077,8.8
16079,16.875
16081,9.425
16083,12.175
16085,13.725
16087,13.25
17001,11.325
17003,21.925
17005,11.35
17007,7.6
17009,10.375
17011,9.875
17013,11.125
17015,10.15
17017,9.075
17019,14.5
17021,11.625
17023,11.6
17025,11.95
17027,8.75
17029,14.6
17031,12.025
17033,10.875
17035,11
17037,12.2
17039,10.175
17041,9.15
17043,6.65
17045,11.825
17047,10.1
17049,9.625
17051,12.6
17053,11.425
17055,14.125
17057,12.65
17059,13.275
17061,12.2
