,Population,% < 18,% 65 and over,% African American,% American Indian/Alaskan Native,% Asian,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Female,% Rural,% Fair/Poor,% Smokers,% Obese,% Excessive Drinking,% Physically Inactive,Chlamydia Rate,% Frequent Physical Distress,% Frequent Mental Distress,% Diabetic,Drug Overdose Mortality Rate,% Insufficient Sleep,% Uninsured,PCP Rate,MHP Rate,% Unemployed,% Children in Poverty,Income Ratio,Association Rate,Violent Crime Rate,% Severe Housing Problems,% Limited Access,Household Income,% Free or Reduced Lunch,Food Environment Index,% With Access,% Food Insecure
0,55869,23.206071345,15.973079883,19.864325476,0.4761137661,1.1741753029,2.9909252,73.77078523,0.8032513467,51.50799191,42.002162321,19.839178869,19.810765873,14.473886311,30.6,504.5,13.252958118,15.809230662,12.7,230.2,8.3845389102,38.443332143,10.047314222,46.76175,28.63842,2.7281063732,15.9,5.0904084014,12.229995863,272.28222006,13.630966516,11.991125,58233.0,47.49285243,6.7,69.130124059,15.6
1,223234,21.30231058,20.977987224,8.6075597803,0.7803470797,1.066145838,4.7188152342,83.207307131,0.7084582457,51.50962667,42.279099114,16.460675293,18.513318262,18.73695763,24.7,297.2,11.611641066,14.755565421,10.3,169.3,12.5404506,36.377960482,13.168982571,70.1764,98.5513,2.7258342923,13.5,4.3851346284,10.503527167,203.66039629,12.996650686,5.424426597,59871.0,40.013016394,7.8,73.713548953,12.9
2,24686,20.586567285,19.691323017,47.828728834,0.6886494369,0.4699019687,4.5248318885,45.511626023,1.890721306,47.079316212,67.789634702,29.841499915,25.53076754,12.466973719,28.0,755.8,18.132104602,18.954694636,17.5,471.0,12.60430763058259,40.889589302,13.504033672,32.15305,12.15264,3.795244231,41.0,5.9819927971,7.6363490213,414.27786068,13.710554951,10.739666573,35972.0,60.769996681,5.5,53.166769858,21.9
3,22394,20.349200679,16.669643655,21.072608734,0.459944628,0.2143431276,2.7819951773,74.408323658,0.335253565,46.731267304,68.352607462,23.853283551,23.084812535,15.420603275,33.4,613.2,15.06592018,17.141793205,13.6,235.0,22.234739557,40.110058479,10.599050652,53.57142999999999,26.79289,3.062751871,25.9,5.0026083348,8.4821428571,89.349125982,9.255242227,2.6016270077,47918.0,63.102595797,7.6,16.251363736,15.1
4,57826,22.922214921,18.700930377,1.5079721924,0.6398505862,0.3199252931,9.6530972227,86.770656798,1.6184630131,50.762632726,89.951502041,21.985609556,22.95495894,15.833283796,33.3,303.4,14.81247144,17.129570211,14.6,90.9,21.879444262,38.847109058,14.115996855,20.74689,17.29326,2.6686668509,21.0,4.4278379129,7.7800829876,482.69061089,10.125664572,2.8801498232,52902.0,50.436967446,7.9,15.634485887,13.6
5,10101,20.849420849,16.938916939,69.082269082,0.8316008316,0.2079002079,8.5536085536,20.997920998,0.6490830414,45.470745471,51.374381528,31.444931886,24.905712949,11.745531457,42.4,1222.2,17.871519967,18.159805543,29.5,560.1,12.60430763058259,44.652713757,11.873543124,29.59164,29.70003,3.6322125363,39.9,5.6306486443,7.8911027816,311.0273327,20.29972752,19.743350741,31906.0,76.077885953,5.0,2.5013743815,20.5
6,19448,21.976552859,20.819621555,44.631838749,0.3959276018,1.4345948169,1.486013986,51.095228301,0.1606081696,53.599341835,71.23215735,27.886720948,22.826806546,12.556232752,40.3,933.2,16.943537403,18.526487198,19.5,344.4,12.60430763058259,41.971169992,11.901832545,25.4065,56.56109,3.648925834,34.6,5.0108316284,9.6544715447,581.58400519,11.843971631,2.9261219306,39944.0,70.746268657,6.8,48.57974889,19.1
7,113605,21.542185643,18.086351833,20.998195502,0.532546983,0.9013687778,4.0614409577,71.708111439,0.884177391,52.043484002,33.696825557,23.66105737,21.234317808,13.720263499,31.1,595.3,15.244868018,17.822829943,17.0,261.3,19.847640174,38.268704745,11.103829434,63.87987,122.35377,3.5382717652,24.6,4.8434110137,14.263587599,756.06654427,12.594235033,9.178566583,47747.0,58.65944326,6.6,47.721215801,17.4
8,33254,20.788476574,20.193059482,39.787694713,0.3277801167,1.1246767306,2.6192337764,55.124195585,0.319448398,52.201238949,49.148034488,25.073923371,23.216156424,13.670486494,28.7,711.9,15.793912029,17.566634791,18.4,398.9,10.93635044,40.510510836,11.610529083,41.64807,3.00716,2.9337058674,30.4,4.7985125858,18.146660717,528.99973623,14.859437751,10.328558281,42015.0,70.447427293,6.7,61.864679234,16.4
9,26196,18.884562529,23.530309971,4.0807756909,0.6909451825,0.3931898,1.7140021377,91.670484043,0.4450558343,50.656588792,85.736273039,22.88776803,23.559697438,15.94083244,30.4,386.7,15.568817617,18.078415656,15.7,115.1,16.648524044,37.863971675,13.482807159,38.41426,22.90426,2.9127886936,23.3,4.8313336012,8.4511370621,330.43879198,11.672070403,0.2211124003,45982.0,62.455516014,7.7,33.429527877,15.6
10,44428,23.838570271,17.106329342,9.9306743495,0.562708202,0.4884307194,8.1840280904,79.861798866,1.6684424642,50.931844783,86.74472424,24.153332673,23.432042227,14.503204658,33.3,342.7,15.69945952,17.817246721,19.0,141.7,15.831373259,38.72929498,16.340589694,22.64852,54.01999,2.7147038046,23.1,4.9307717606,14.948021652,507.81072095,14.639236732,1.4605309614,49692.0,61.145846625,7.6,46.293792819,15.8
11,12589,19.699737866,23.584081341,41.575979029,0.2065295099,0.1985860672,1.0167606641,56.326952101,0.244977952,52.831837318,100.0,26.382311475,23.289764357,13.530109679,33.7,378.5,16.298573928,18.290223367,17.9,225.8,12.60430763058259,41.715830472,13.489466148,38.93778,7.94344,4.6680942184,30.4,5.8965330077,21.805155362,128.41466262,11.436413541,7.2904190524,39808.0,76.538461538,6.1,28.934266542,20.7
12,23622,21.306409279,20.502074337,44.742189484,0.5630344594,0.4360342054,1.312335958,52.108204216,0.0791174014,52.785538904,75.98033523,26.788858047,24.336501142,13.80604087,40.5,577.2,17.039030182,18.519440945,24.8,172.2,15.357766143,42.69677917,12.556932528,54.34783,71.96681,5.7694852455,28.6,8.3067400275,15.886287625,475.31243598,12.8125,11.154712303,43822.0,71.282476506,5.7,25.270003484,21.1
13,13235,20.166225916,21.042689838,13.4945221,0.5666792595,0.2871174915,3.2867397053,80.347563279,0.0948091965,51.28825085,100.0,25.204724489,25.230843336,15.559048785,33.8,643.4,16.40091024,18.716422567,16.2,175.5,12.60430763058259,38.853624595,15.939370535,37.66478,15.11145,2.9995082773,26.0,4.7402329992,11.299435028,309.06721281,9.5505617978,2.3268798802,40562.0,65.952890792,7.5,63.781223084,15.9
14,14910,22.541918176,20.174379611,2.7498323273,0.5298457411,0.2213279678,2.5955734406,92.816901408,0.7393189735,50.771294433,100.0,22.82258171,24.088050258,15.672496762,26.0,261.7,15.49548539,18.175647619,13.9,127.3,12.60430763058259,38.241038414,13.597520107,20.01735,53.65526000000001,3.1519118154,17.9,4.7101914352,7.3396944018,103.33333333,12.727272727,2.0717157696,51276.0,54.100318471,7.2,41.48410366,17.5
15,52342,23.678881204,17.253830576,17.060868901,1.4023155401,1.6774292155,7.9687440297,69.424171793,1.2733464039,50.819609491,47.195082886,21.534752697,21.383378454,15.728800993,31.6,601.5,13.770104479,15.910236138,15.9,141.2,8.3266613291,37.401115852,12.523076204,46.23476,76.42047,2.9109429025,21.8,4.8659877433,13.870427094,276.20804419,10.626911315,5.9812031395,57299.0,46.13171684,7.2,53.723872828,15.6
